"Actions","Actions"
"Active","Actif"
"Add New Rule","Ajouter une nouvelle règle"
"Apply","Appliquer"
"Apply the rule only if the following conditions are met (leave blank for all products)","Appliquer la règle seulement si les conditions suivantes sont remplies (laisser vide pour appliquer à tous les produits)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Appliquer la règle seulement aux articles du panier qui remplissent les conditions suivantes (laisser vide pour appliquer à tous les produits du panier)"
"Apply the rule to cart items matching the following conditions","Appliquer la règle aux articles du panier qui remplissent les conditions suivantes"
"Apply to","Appliquer à"
"Buy X get Y free (discount amount is Y)","X achetés, Y gratuits (la valeur de la remise est Y)"
"By Fixed Amount","Remise d'un montant fixe"
"By Fixed value","remise d'une valeur de"
"By Percentage","remise en %%"
"By Percentage of the original price","Remise en pourcentage du prix original"
"Cart Attribute","Attribut de panier"
"Catalog","Catalogue"
"Conditions","Conditions"
"Conditions combination","Combinaison de conditions "
"Coupon Code","Code du bon de réduction"
"Coupon code","Code du bon de réduction"
"Customer Groups","Groupes clients"
"Customer is new buyer: %s","Le client est un nouvel acheteur : %s"
"Customer registered: %s","Client enregistré : %s"
"Date Expire","Date d'expiration"
"Date Start","Date de démarrage"
"Delete Rule","Supprimer la règle"
"Description","Description"
"Description: %s","Description : %s"
"Discount Qty Step (Buy X)","Quantité pour obtenir la remise (Achetez-en X)"
"Discount amount","Valeur à appliquer"
"Edit Rule","Modifier la règle"
"Edit Rule '%s'","Éditer la règle '%s'"
"Expire at: %s","Expire le : %s"
"Fixed amount discount","Remise d'une valeur fixe"
"Fixed amount discount for whole cart","Remise d'un montant fixe pour l'ensemble du panier"
"For matching items only","Pour les objets concordants seulement"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"Free shipping","Livraison gratuite"
"From Date","Date de début"
"General Information","Informations générales"
"ID","ID"
"Inactive","Inactif"
"Maximum Qty Discount is Applied to","Quantité maxi d'articles bénéficiant de la remise"
"NOT LOGGED IN","SESSION FERMEE"
"Name: %s","Nom : %s"
"New Rule","Nouvelle règle"
"No","Non"
"Payment Method","Mode de paiement"
"Percent of product price discount","Remise en pourcentage du prix du produit"
"Price in cart","Prix dans le panier"
"Priority","Priorité"
"Product attribute combination","Combinaison d'attributs de produit"
"Products subselection","Sous-sélection de produits"
"Promotions","Promotions"
"Public In RSS Feed","Public dans le flux RSS"
"Quantity in cart","Quantité dans le panier"
"Row total in cart","Total de la ligne du panier"
"Rule Information","Informations règle"
"Rule Name","Nom de la règle"
"Rule was successfully deleted","Règle supprimée avec succès"
"Rule was successfully saved","Règle sauvegardée avec succès"
"Save Rule","Sauvegarder la règle"
"Shipping Country","Pays de livraison"
"Shipping Method","Mode de livraison"
"Shipping Postcode","Code postal de livraison"
"Shipping Region","Région de livraison"
"Shipping State/Province","État/région de livraison"
"Shopping Cart Price Rule","Règle de prix panier"
"Shopping Cart Price Rules","Règles de prix panier"
"Special price","Prix promotionnel"
"Start at: %s","Débute le : %s"
"Status","Statut"
"Stop further rules processing","Arrêter de traiter les règles suivantes"
"Subtotal","Sous-total"
"The page you are trying to save no longer exists","La page que vous êtes en train d'essayer de sauvegarder n'existe plus"
"This rule no longer exists","Cette règle n'existe plus"
"To Date","Date de fin"
"To Fixed Amount","Nouveau prix en montant fixe"
"To Fixed Value","Nouveau prix"
"To Percentage","nouveau prix en %%"
"To Percentage of the original price","Nouveau prix en pourcentage du prix original"
"Total Items Quantity","Quantité totale d'articles"
"Total Weight","Poids total"
"Unable to find a page to delete","Impossible de trouver une page à supprimer"
"� jour prices using the following information","Mettre à jour les prix en utilisant l'information suivante"
"� jour product's %s %s: %s","Mettre à jour le %s du produit %s : %s"
"� jour the Product","Mettre à jour le produit"
"Uses per coupon","Nb d'utilisations par bon de réduction"
"Uses per customer","Nb d'utilisations par client"
"Yes","Oui"
