"# of Uses","Nombre d'utilisations"
"%s tag(s) have been accepted for moderation","%s mots(s) clé(s) acceptés pour modérations."
"Action","Action"
"Actions","Actions"
"Add New Tag","Ajouter un mot clé"
"Add Tags","Ajouter des mots clés"
"Add Your Tags:","Ajouter vos mots clés:"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter � mes"
"All Tags","Tous les mots clés"
"Approved","Approuvé"
"Are you sure that you want to delete this tag?","Êtes-vous sûr de vouloir supprimer ce tag ?"
"Are you sure you want to delete this tag?","Êtes-vous sûr(e) de vouloir supprimer ce mot clé ?"
"Are you sure you want to do this?","Êtes-vous sûr(e) d'effectuer cette opération ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Back","Retour"
"Back to Tags List","Retour à la liste de mots clés"
"Back to view Tag","Retour à l'affichage du tag"
"Block Information","Information"
"CSV","CSV"
"Change status","Changer le status"
"Click on a tag to view your corresponding products.","Cliquez sur le mot clé pour voir les produits correspondants."
"Country","Pays"
"Customer Since","Client depuis"
"Customers","Clients"
"Customers Tagged '%s'","Mots clés clients '%s'"
"Delete","Supprimer"
"Delete Tag","Supprimer mot clé"
"Disabled","Désactivé"
"Edit Tag","Modifier le tag"
"Edit Tag '%s'","Éditer mot clé '%s'"
"Email","Email"
"First Name","Prénom"
"General Information","Informations générales"
"Grid","Grille"
"ID","ID"
"Last Name","Nom"
"List","Liste"
"My Recent Tags","Mes mots clés récents"
"My Tags","Mes mot clés"
"Name","Nom"
"New Tag","Nouveau mot clé"
"No matches found.","Aucune correspondance trouvée."
"Other people marked this product with these tags:","Les mots-clés suivants ont été proposés pour ce produit :"
"Pending","En attente"
"Pending Tags","Mots clés en attente"
"Popular","Populaire"
"Popular Tags","Mots clés populaires"
"Popularity","Popularité"
"Price","Prix"
"Product Name","Nom du produit"
"Product SKU","SKU Produit"
"Product Tags","Mots clés du produit"
"Products","Produits"
"Products Tagged with '%s'","Produits taggés avec '%s'"
"Products tagged with '%s'","Produits taggés avec '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produits taggés avec '%s' (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Enregistrer mot clé"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Résultats de recherche pour '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Rechercher un terme"
"Status","Statut"
"Tag","Mot clé"
"Tag ""%s"" has already been added to the product","Le mot clé ""%s"" existe déjà pour ce produit"
"Tag Information","Informations du tag"
"Tag Name","Nom du mot clé"
"Tag Name: %s","Nom du tag : <strong>%s</strong>"
"Tag can't be empty.","Le tag ne peut pas être vide."
"Tagged in","Taggé dans"
"Tags","Mots clés"
"Tags Aren't Available","Mots clés non disponibles"
"Tags:","Mots clés:"
"Telephone","Téléphone"
"Thank you. Your tag has been accepted for moderation.","Merci. Votre tag a été accepté pour modération."
"Unable to find any products tagged with '%s' in the current store","Aucune correspondance d'article pour le mot clé : '%s'"
"Unable to remove tag. Please, try again later.","Impossible de supprimer le mot clé. Veuillez recommencer ultérieurement"
"Unable to save tag(s)","Impossible d'enregistrer le(s) mot(s) clé(s)"
"Unable to save your tag. Please, try again later.","Impossible de sauvegarder votre tag. Veuillez réessayer plus tard."
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilisez un espace pour séparer les mots clés. Utilisez l'apostrophe (') pour rédiger une phrase."
"Uses","Usages"
"View All","Tout voir"
"View All Tags","Voir tous les mots clés"
"View Customers","Voir les clients"
"View Products","Voir les produits"
"Visible In","Visible dans"
"XML","XML"
"You have not tagged any products yet.","Vous n'avez taggé aucun produit pour le moment."
"Your tag was successfully deleted","Votre mot clé à été correctement supprimé"
"Your tag was successfully saved","Votre tag a bien été sauvegardé"
"ZIP/Post Code","ZIP/Code postal"
"You have not tagged any products yet.","You have not tagged any products yet."
